vict_descent,area,crm_cd,premis_cd,weapon_used_cd,age_group,time_group
1,5,626,122.0,400.0,2.0,2.0
1,1,625,0.0,500.0,5.0,3.0
1,1,230,0.0,400.0,2.0,4.0
1,1,230,102.0,400.0,3.0,4.0
1,13,0,501.0,400.0,1.0,3.0
2,1,624,102.0,400.0,5.0,2.0
1,1,230,502.0,512.0,4.0,3.0
1,12,230,101.0,212.0,2.0,4.0
1,4,626,101.0,400.0,1.0,3.0
2,6,761,0.0,102.0,3.0,3.0
2,1,624,0.0,400.0,4.0,2.0
1,1,624,0.0,400.0,3.0,2.0
1,1,230,101.0,500.0,3.0,4.0
1,1,210,101.0,500.0,4.0,2.0
1,1,624,102.0,400.0,3.0,4.0
1,10,930,502.0,102.0,1.0,3.0
1,1,624,0.0,400.0,3.0,4.0
2,1,220,102.0,400.0,5.0,3.0
2,12,236,102.0,512.0,3.0,4.0
1,1,624,203.0,400.0,5.0,2.0
2,1,230,103.0,207.0,4.0,3.0
1,10,626,501.0,400.0,3.0,2.0
1,9,0,101.0,0.0,1.0,1.0
2,1,625,502.0,500.0,5.0,3.0
1,1,624,203.0,400.0,4.0,2.0
1,1,230,101.0,207.0,2.0,3.0
1,1,230,0.0,512.0,2.0,3.0
1,1,624,0.0,400.0,4.0,4.0
1,1,624,0.0,400.0,3.0,4.0
1,1,624,0.0,400.0,1.0,4.0
1,1,624,0.0,400.0,1.0,4.0
2,1,230,0.0,200.0,3.0,2.0
1,1,624,101.0,400.0,2.0,3.0
1,1,626,108.0,400.0,4.0,3.0
1,1,236,502.0,0.0,3.0,3.0
2,1,230,102.0,200.0,4.0,3.0
2,2,626,502.0,400.0,2.0,1.0
1,1,0,102.0,400.0,4.0,2.0
1,1,230,102.0,400.0,5.0,4.0
1,1,0,102.0,400.0,1.0,4.0
1,12,230,101.0,212.0,3.0,4.0
2,12,236,101.0,500.0,3.0,3.0
1,2,0,122.0,500.0,4.0,4.0
2,1,0,102.0,511.0,3.0,3.0
1,5,626,0.0,400.0,5.0,3.0
2,1,624,0.0,400.0,3.0,4.0
1,1,624,203.0,400.0,5.0,3.0
2,1,624,101.0,400.0,2.0,4.0
1,1,624,503.0,400.0,3.0,4.0
2,18,624,104.0,400.0,2.0,2.0
1,1,624,0.0,400.0,2.0,2.0
1,20,624,0.0,400.0,4.0,3.0
1,1,230,101.0,306.0,4.0,2.0
1,1,624,102.0,400.0,5.0,3.0
1,11,624,501.0,400.0,5.0,1.0
1,1,624,0.0,400.0,2.0,2.0
1,1,0,502.0,511.0,2.0,3.0
1,1,121,502.0,400.0,4.0,3.0
1,1,0,0.0,511.0,1.0,2.0
1,4,624,501.0,400.0,2.0,4.0
1,1,0,101.0,400.0,1.0,2.0
1,12,930,502.0,511.0,2.0,4.0
2,1,624,102.0,400.0,5.0,4.0
1,8,624,502.0,400.0,5.0,4.0
1,1,624,502.0,400.0,3.0,4.0
2,1,210,102.0,102.0,5.0,4.0
1,1,860,101.0,400.0,5.0,2.0
1,17,0,502.0,400.0,1.0,3.0
1,16,121,101.0,400.0,2.0,3.0
1,12,236,501.0,400.0,2.0,3.0
2,1,626,102.0,500.0,5.0,1.0
1,1,761,102.0,207.0,5.0,3.0
2,1,236,0.0,512.0,3.0,2.0
1,1,624,0.0,400.0,5.0,2.0
2,1,624,102.0,400.0,2.0,3.0
1,1,624,502.0,400.0,2.0,3.0
1,20,624,0.0,400.0,5.0,4.0
2,1,230,101.0,500.0,4.0,3.0
1,1,624,502.0,400.0,4.0,3.0
2,12,230,0.0,500.0,2.0,4.0
2,1,624,0.0,400.0,4.0,4.0
1,9,624,0.0,400.0,3.0,4.0
1,16,626,502.0,400.0,2.0,4.0
1,11,236,501.0,400.0,2.0,1.0
2,1,0,102.0,400.0,5.0,3.0
1,12,627,501.0,400.0,1.0,4.0
1,1,624,102.0,400.0,5.0,4.0
1,2,0,101.0,500.0,1.0,4.0
2,1,624,102.0,400.0,5.0,2.0
1,1,624,102.0,400.0,3.0,3.0
1,1,624,102.0,400.0,2.0,3.0
1,1,624,0.0,400.0,3.0,4.0
1,1,930,101.0,511.0,2.0,3.0
1,1,624,101.0,511.0,2.0,3.0
2,2,236,108.0,307.0,3.0,4.0
2,1,624,101.0,500.0,5.0,3.0
1,12,0,0.0,400.0,1.0,2.0
2,12,236,101.0,307.0,2.0,2.0
1,6,0,501.0,500.0,1.0,3.0
2,13,230,501.0,307.0,3.0,4.0
2,1,860,0.0,400.0,5.0,3.0
1,1,930,502.0,511.0,3.0,4.0
1,10,860,501.0,400.0,1.0,1.0
1,11,761,0.0,207.0,5.0,3.0
1,1,220,102.0,400.0,4.0,4.0
1,1,624,210.0,400.0,3.0,3.0
2,1,0,101.0,500.0,2.0,4.0
2,3,624,0.0,400.0,3.0,4.0
1,13,0,101.0,109.0,2.0,4.0
1,1,310,502.0,400.0,5.0,4.0
1,7,930,203.0,511.0,4.0,3.0
1,4,624,101.0,400.0,4.0,2.0
1,2,230,0.0,400.0,1.0,3.0
1,5,626,501.0,400.0,2.0,2.0
1,10,0,501.0,400.0,3.0,1.0
1,1,624,502.0,400.0,3.0,1.0
1,16,121,501.0,400.0,1.0,4.0
1,1,230,101.0,0.0,4.0,4.0
1,2,236,502.0,207.0,3.0,3.0
1,2,624,0.0,400.0,4.0,1.0
1,11,0,502.0,400.0,3.0,4.0
1,2,210,101.0,400.0,3.0,1.0
1,2,230,102.0,200.0,2.0,2.0
1,2,210,0.0,200.0,1.0,3.0
1,2,236,501.0,400.0,3.0,4.0
1,10,860,501.0,400.0,5.0,4.0
1,2,626,108.0,400.0,2.0,4.0
1,2,0,0.0,0.0,1.0,2.0
1,2,230,502.0,500.0,4.0,1.0
2,2,230,502.0,312.0,4.0,2.0
1,2,0,0.0,511.0,1.0,3.0
1,2,230,108.0,308.0,5.0,3.0
1,7,210,102.0,102.0,3.0,4.0
1,2,627,501.0,0.0,1.0,3.0
1,2,230,102.0,0.0,2.0,4.0
1,2,624,102.0,400.0,5.0,4.0
1,7,624,203.0,400.0,3.0,3.0
1,2,220,101.0,200.0,2.0,2.0
1,2,210,102.0,400.0,2.0,2.0
1,2,210,203.0,400.0,2.0,3.0
1,3,626,502.0,400.0,2.0,4.0
1,2,930,502.0,511.0,1.0,4.0
1,14,0,501.0,400.0,1.0,1.0
2,2,624,0.0,400.0,5.0,4.0
2,2,0,502.0,200.0,4.0,4.0
1,2,210,102.0,400.0,1.0,3.0
1,2,930,203.0,511.0,2.0,4.0
1,2,930,102.0,511.0,5.0,4.0
2,2,624,101.0,400.0,5.0,4.0
1,2,930,501.0,511.0,3.0,4.0
1,2,210,0.0,511.0,1.0,3.0
1,4,627,502.0,400.0,1.0,3.0
1,2,624,102.0,500.0,5.0,3.0
1,2,210,109.0,400.0,2.0,4.0
1,2,230,0.0,109.0,3.0,1.0
1,2,0,102.0,102.0,1.0,1.0
1,2,625,0.0,400.0,2.0,3.0
1,2,624,0.0,400.0,3.0,3.0
1,2,740,122.0,0.0,3.0,4.0
1,2,624,0.0,400.0,2.0,4.0
1,9,230,102.0,500.0,5.0,3.0
1,11,0,101.0,400.0,1.0,3.0
1,2,0,101.0,0.0,3.0,4.0
1,2,761,502.0,0.0,5.0,3.0
1,2,230,101.0,200.0,4.0,3.0
2,2,230,0.0,0.0,3.0,4.0
1,2,230,102.0,0.0,2.0,3.0
1,2,860,502.0,400.0,2.0,4.0
1,2,230,502.0,200.0,5.0,1.0
2,2,230,101.0,109.0,4.0,3.0
1,8,121,501.0,400.0,1.0,4.0
2,6,761,502.0,102.0,5.0,2.0
1,2,624,102.0,500.0,5.0,2.0
1,2,230,108.0,0.0,1.0,2.0
1,2,210,101.0,0.0,2.0,3.0
1,2,230,102.0,512.0,3.0,3.0
1,7,0,0.0,400.0,1.0,1.0
1,2,230,102.0,400.0,5.0,3.0
1,2,220,101.0,200.0,4.0,4.0
1,2,210,102.0,400.0,5.0,4.0
1,2,740,0.0,308.0,1.0,3.0
1,2,740,122.0,400.0,4.0,3.0
1,2,230,0.0,500.0,2.0,3.0
1,2,230,0.0,500.0,5.0,3.0
1,1,230,502.0,0.0,5.0,4.0
1,2,624,101.0,400.0,5.0,2.0
1,2,626,101.0,500.0,2.0,4.0
1,2,210,103.0,400.0,1.0,3.0
1,2,210,102.0,0.0,2.0,4.0
1,2,761,502.0,0.0,5.0,3.0
1,2,310,203.0,500.0,1.0,4.0
1,8,627,0.0,400.0,1.0,2.0
1,2,624,104.0,400.0,3.0,4.0
1,2,121,0.0,400.0,1.0,4.0
1,2,624,502.0,500.0,5.0,4.0
1,2,230,102.0,200.0,4.0,2.0
1,2,930,502.0,511.0,3.0,3.0
2,2,210,101.0,102.0,3.0,4.0
2,2,626,502.0,400.0,2.0,1.0
1,2,230,101.0,400.0,3.0,1.0
1,2,860,101.0,400.0,3.0,3.0
1,2,230,102.0,500.0,4.0,4.0
1,2,761,502.0,200.0,2.0,4.0
1,2,230,101.0,0.0,3.0,4.0
1,2,624,101.0,400.0,4.0,3.0
1,1,740,0.0,500.0,1.0,1.0
1,2,0,0.0,400.0,5.0,3.0
1,2,230,101.0,400.0,1.0,3.0
1,2,624,101.0,400.0,5.0,3.0
1,2,210,101.0,102.0,1.0,4.0
1,2,0,122.0,308.0,5.0,3.0
1,2,236,502.0,400.0,4.0,3.0
1,2,740,502.0,500.0,1.0,3.0
2,2,624,101.0,400.0,2.0,3.0
2,2,236,502.0,500.0,3.0,2.0
1,2,624,502.0,400.0,2.0,4.0
